,Year,State,State_Minimum_Wage
786,2006,MD,5.15
787,2006,ME,6.5
788,2006,MI,5.15
789,2006,MN,5.25
790,2006,MO,5.15
791,2006,MS,5.15
792,2006,MT,4.0
793,2006,NC,5.15
794,2006,ND,5.15
795,2006,NE,5.15
796,2006,NH,5.15
797,2006,NJ,6.15
798,2006,NM,5.15
799,2006,NV,5.15
800,2006,NY,6.75
801,2006,OH,2.8
802,2006,OK,2.0
803,2006,OR,7.5
804,2006,PA,5.15
805,2006,RI,6.75
806,2006,SC,5.15
807,2006,SD,5.15
808,2006,TN,5.15
809,2006,TX,5.15
810,2006,UT,5.15
811,2006,VA,5.15
812,2006,WA,7.63
813,2006,WI,5.7
814,2006,WV,5.15
815,2006,WY,5.15
816,2007,AL,5.15
817,2007,AR,6.25
818,2007,AZ,6.75
819,2007,CA,7.5
820,2007,CO,6.85
821,2007,CT,7.65
822,2007,DE,6.65
823,2007,FL,6.67
824,2007,GA,5.15
825,2007,HI,7.25
826,2007,IA,5.15
827,2007,ID,5.15
828,2007,IL,7.5
829,2007,IN,5.15
830,2007,KS,2.65
831,2007,KY,5.15
832,2007,LA,5.15
833,2007,MA,7.5
834,2007,MD,6.15
835,2007,ME,6.75
836,2007,MI,6.95
837,2007,MN,5.25
838,2007,MO,6.5
839,2007,MS,5.15
840,2007,MT,4.0
841,2007,NC,6.15
842,2007,ND,5.15
843,2007,NE,5.15
844,2007,NH,5.15
845,2007,NJ,7.15
846,2007,NM,5.15
847,2007,NV,6.15
848,2007,NY,7.15
849,2007,OH,6.85
850,2007,OK,2.0
851,2007,OR,7.8
852,2007,PA,6.25
853,2007,RI,7.4
854,2007,SC,5.15
855,2007,SD,5.15
856,2007,TN,5.15
857,2007,TX,5.15
858,2007,UT,5.15
859,2007,VA,5.15
860,2007,WA,7.93
861,2007,WI,6.5
862,2007,WV,5.85
863,2007,WY,5.15
864,2008,AL,5.85
865,2008,AR,6.25
866,2008,AZ,6.9
867,2008,CA,8.0
868,2008,CO,7.02
869,2008,CT,7.65
870,2008,DE,7.15
871,2008,FL,6.79
872,2008,GA,5.15
873,2008,HI,7.25
874,2008,IA,7.25
875,2008,ID,5.85
876,2008,IL,7.75
877,2008,IN,5.85
878,2008,KS,2.65
879,2008,KY,5.85
880,2008,LA,5.85
881,2008,MA,8.0
882,2008,MD,6.15
883,2008,ME,7.0
884,2008,MI,7.15
885,2008,MN,5.25
886,2008,MO,6.65
887,2008,MS,5.85
888,2008,MT,4.0
889,2008,NC,6.15
890,2008,ND,5.85
891,2008,NE,5.85
892,2008,NH,6.5
893,2008,NJ,7.15
894,2008,NM,6.5
895,2008,NV,6.33
896,2008,NY,7.15
897,2008,OH,7.0
898,2008,OK,2.0
899,2008,OR,7.95
900,2008,PA,7.15
901,2008,RI,7.4
902,2008,SC,5.85
903,2008,SD,5.85
904,2008,TN,5.85
905,2008,TX,5.85
906,2008,UT,5.85
907,2008,VA,5.85
908,2008,WA,8.07
909,2008,WI,6.5
910,2008,WV,6.55
911,2008,WY,5.15
912,2009,AL,6.55
913,2009,AR,6.25
914,2009,AZ,7.25
915,2009,CA,8.0
916,2009,CO,7.28
917,2009,CT,8.0
918,2009,DE,7.15
919,2009,FL,7.21
920,2009,GA,5.15
921,2009,HI,7.25
922,2009,IA,7.25
923,2009,ID,6.55
924,2009,IL,8.0
925,2009,IN,6.55
926,2009,KS,2.65
927,2009,KY,6.55
928,2009,LA,6.55
929,2009,MA,8.0
930,2009,MD,6.55
931,2009,ME,7.25
932,2009,MI,7.4
933,2009,MN,5.25
934,2009,MO,7.05
935,2009,MS,6.55
936,2009,MT,4.0
937,2009,NC,6.55
938,2009,ND,6.55
939,2009,NE,6.55
940,2009,NH,7.25
941,2009,NJ,7.15
942,2009,NM,7.5
943,2009,NV,6.55
944,2009,NY,7.15
945,2009,OH,7.3
946,2009,OK,2.0
947,2009,OR,8.4
948,2009,PA,7.15
949,2009,RI,7.4
950,2009,SC,6.55
951,2009,SD,6.55
952,2009,TN,6.55
953,2009,TX,6.55
954,2009,UT,6.55
955,2009,VA,6.55
956,2009,WA,8.55
957,2009,WI,6.5
958,2009,WV,7.25
959,2009,WY,5.15
960,2010,AL,7.25
961,2010,AR,6.25
962,2010,AZ,7.25
963,2010,CA,8.0
964,2010,CO,7.24
965,2010,CT,8.25
966,2010,DE,7.25
967,2010,FL,7.25
