,Year,State,Income
501,2018,MN,71820.0
502,2018,MO,61730.0
503,2018,MS,42780.0
504,2018,MT,57680.0
505,2018,NC,53370.0
506,2018,ND,66510.0
507,2018,NE,67580.0
508,2018,NH,81350.0
509,2018,NJ,74180.0
510,2018,NM,48280.0
511,2018,NV,61860.0
512,2018,NY,67270.0
513,2018,OH,61630.0
514,2018,OK,54430.0
515,2018,OR,69170.0
516,2018,PA,64520.0
517,2018,RI,62270.0
518,2018,SC,57440.0
519,2018,SD,59460.0
520,2018,TN,56060.0
521,2018,TX,59790.0
522,2018,UT,77070.0
523,2018,VA,77150.0
524,2018,WA,79730.0
525,2018,WI,62630.0
526,2018,WV,50570.0
527,2018,WY,62540.0
528,2019,AL,56200.0
529,2019,AR,54540.0
530,2019,AZ,70670.0
531,2019,CA,78110.0
532,2019,CO,72500.0
533,2019,CT,87290.0
534,2019,DE,74190.0
535,2019,FL,58370.0
536,2019,GA,56630.0
537,2019,HI,88010.0
538,2019,IA,66050.0
539,2019,ID,65990.0
540,2019,IL,74400.0
541,2019,IN,66690.0
542,2019,KS,73150.0
543,2019,KY,55660.0
544,2019,LA,51710.0
545,2019,MA,87710.0
546,2019,MD,95570.0
547,2019,ME,66550.0
548,2019,MI,64120.0
549,2019,MN,81430.0
550,2019,MO,60600.0
551,2019,MS,44790.0
552,2019,MT,60200.0
553,2019,NC,61160.0
554,2019,ND,70030.0
555,2019,NE,73070.0
556,2019,NH,86900.0
557,2019,NJ,87730.0
558,2019,NM,53110.0
559,2019,NV,70910.0
560,2019,NY,71860.0
561,2019,OH,64660.0
562,2019,OK,59400.0
563,2019,OR,74410.0
564,2019,PA,70580.0
565,2019,RI,70150.0
566,2019,SC,62030.0
567,2019,SD,64260.0
568,2019,TN,56630.0
569,2019,TX,67440.0
570,2019,UT,84520.0
571,2019,VA,81310.0
572,2019,WA,82450.0
573,2019,WI,67360.0
574,2019,WV,53710.0
575,2019,WY,65130.0
576,2020,AL,54690.0
577,2020,AR,50780.0
578,2020,AZ,67090.0
579,2020,CA,77650.0
580,2020,CO,83780.0
581,2020,CT,79430.0
582,2020,DE,70020.0
583,2020,FL,57760.0
584,2020,GA,59270.0
585,2020,HI,80830.0
586,2020,IA,68820.0
587,2020,ID,66730.0
588,2020,IL,74330.0
589,2020,IN,66810.0
590,2020,KS,73080.0
591,2020,KY,56760.0
592,2020,LA,51190.0
